date,covered_total_usd_mm,hhi,effective_number,top5_share
2020-01,20562103.0,0.057602937676774706,17.360225716460228,0.4516094973359486
2020-02,20212317.0,0.058032526695469114,17.23171567641005,0.4561444390566406
2020-03,18678567.0,0.058804146210000505,17.005603591774204,0.46057392946685904
2020-04,19534041.0,0.05865845437253608,17.04784094120626,0.4577239292166941
2020-05,20191963.0,0.05868328927606233,17.04062625555505,0.45841719301882633
2020-06,20476181.0,0.058476183205977215,17.10097932482337,0.4575839606028097
2020-07,21163176.0,0.05851334049340526,17.090119818278104,0.45678824388173117
2020-08,21749299.0,0.058564950176119054,17.075059348514028,0.45659039401683704
2020-09,21405244.0,0.05817484207299868,17.1895610605214,0.454258311654845
2020-10,21232069.0,0.05821336253376904,17.178186527533246,0.45408349040312557
2020-11,22494491.0,0.057876300010414945,17.27822960037266,0.4509215611946943
2020-12,23110410.0,0.05773033491676647,17.3219157907496,0.45218791012361964
2021-01,23142284.0,0.05755145867895979,17.375754202483655,0.4498915491660201
2021-02,23478645.0,0.05798356355906553,17.24626667661328,0.4549601563463309
2021-03,23700295.0,0.05727570450342807,17.45940986094982,0.45135374897232294
2021-04,24447682.0,0.057397515192045126,17.42235698974287,0.4528603979714723
2021-05,24642714.0,0.05730054592396873,17.45184070893296,0.4529321729741294
2021-06,25908170.0,0.057106863100720474,17.51103012323196,0.45373829954026085
2021-07,26146079.0,0.0570847384808758,17.517816961446083,0.453431659867623
2021-08,26565834.0,0.05738864200904902,17.42505075903905,0.4558313508998061
2021-09,25930415.0,0.05714779768732377,17.49848708906266,0.45443746272475777
2021-10,26715524.0,0.057255374845747574,17.465609171088524,0.4554311568060578
2021-11,26565665.0,0.05726521447762513,17.4626081316909,0.4566097630155315
2021-12,27518671.0,0.05684755618910381,17.590905696517414,0.455385145598056
2022-01,26393431.0,0.05665959306254059,17.6492619510381,0.45298949575748604
2022-02,26035669.0,0.0564735602941606,17.707401389095715,0.4513017122778754
2022-03,26134823.0,0.05623229320398758,17.783375761902725,0.44960993231138396
2022-04,24833148.0,0.05622466829976912,17.785787453086787,0.4487836580364277
2022-05,24726641.0,0.05674248962301011,17.62347769094858,0.4519198543789268
2022-06,23605535.0,0.05632959615290987,17.752657009743928,0.44800285187351185
2022-07,24535313.0,0.05624522170857768,17.779288082128673,0.44793233328631266
2022-08,24088043.0,0.05626397526664493,17.773362000477626,0.44851368789070994
2022-09,22501547.0,0.0561298940024009,17.815818429253152,0.4478876941216531
2022-10,23017870.0,0.05608634925845682,17.829650409082703,0.4484662134246131
2022-11,23575400.0,0.05488681747057414,18.219311049253655,0.4430226846628265
2022-12,22928520.0,0.05482579699300555,18.23958893160415,0.4419365925057527
2023-01,23886584.0,0.05488132997529835,18.22113276864996,0.4430528869259832
2023-02,23461817.0,0.054487811288089986,18.35272836915329,0.44052572739783963
2023-03,24150959.0,0.05468108686580944,18.287858879873,0.4417408435002519
2023-04,24351605.0,0.05459075946282451,18.3181184845209,0.4413812559788154
2023-05,24362992.0,0.05433190934458164,18.40539035096007,0.43993726222132323
2023-06,25213123.0,0.05404625579478224,18.502669339335483,0.4387276816124682
2023-07,25679807.0,0.053986788501714934,18.523050319398685,0.43929640904232653
2023-08,25502875.0,0.053864520627518744,18.565096066019976,0.43938006989408057
2023-09,24691508.0,0.05384348549488317,18.572348925944468,0.4395897974315704
2023-10,24274141.0,0.0540664378128195,18.49576262934218,0.4407893156754754
2023-11,25729887.0,0.05419059263596327,18.45338741204974,0.44212230702762123
2023-12,27001158.0,0.05332800234344654,18.751874363486063,0.4340329033295535
2024-01,27172901.0,0.053426010878441864,18.717474570116444,0.4346178937611409
2024-02,27911700.0,0.05349451304959154,18.693505987669432,0.4357622430736931
2024-03,28591996.0,0.05331361920675648,18.756933310452673,0.43474058264417775
2024-04,27821878.0,0.053137257625947266,18.819187227149893,0.4335249403365222
2024-05,28587719.0,0.05313002526797563,18.82174900080002,0.4343239836658532
2024-06,29224684.0,0.05306715480260368,18.844047767771716,0.4329258444676425
2024-07,29648197.0,0.053016689567494155,18.861984936402457,0.4323523619328352
2024-08,30237618.0,0.05303768429688444,18.854518504284364,0.4321238862135238
2024-09,30966778.0,0.0530501242668826,18.850097220682027,0.43180388350379884
2024-10,30744884.0,0.05282264781532419,18.931273636568697,0.4313150116292519
2024-11,31827111.0,0.05302044511497264,18.860648903107872,0.43188230310944653
2024-12,31271038.0,0.05301532691560004,18.862469745626424,0.43148506934755415
2025-01,31763502.0,0.05307294131800547,18.841993210968713,0.43076078324109224
2025-02,31741910.0,0.053390442019298365,18.729944203094306,0.43409429363261376
